X,Y,OBJECTID,Lokacija,godina,nadlezan,izvor,izradio,IME_GC,Shape_Leng
15.9769260385409,45.8143171094477,1,Tržnica Dolac,2013,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",GORNJI GRAD - MEDVEŠČAK,18576.160558
15.955322336494,45.8104908676842,2,Trg Francuske republike,2013,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",ČRNOMEREC,29264.4135065
15.9931240040326,45.803682891474,3,Autobusni kolodvor Zagreb,2013,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",TRNJE,14896.3014904
15.9936205780272,45.8033442603025,4,Autobusni kolodvor Zagreb,2013,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",TRNJE,14896.3014904
15.9839509403648,45.8121311464849,5,Trg hrvatskih velikana,2013,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",DONJI GRAD,9845.51393062
15.9774081334006,45.8125900535408,6,Trg Bana Josipa Jelačića,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",DONJI GRAD,9845.51393062
15.9775089020048,45.8124707705533,7,Trg Bana Josipa Jelačića,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",DONJI GRAD,9845.51393062
15.9761330838348,45.8131960312615,8,Trg Bana Josipa Jelačića,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",GORNJI GRAD - MEDVEŠČAK,18576.160558
15.9762725328366,45.8127731208262,9,Trg Bana Josipa Jelačića,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",DONJI GRAD,9845.51393062
15.9784018539489,45.8127886277939,10,Trg Bana Josipa Jelačića,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",GORNJI GRAD - MEDVEŠČAK,18576.160558
15.9786807641627,45.8125234803629,11,Trg Bana Josipa Jelačića,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",GORNJI GRAD - MEDVEŠČAK,18576.160558
15.9733019807179,45.8159384800059,12,Trg Sv. Marka,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",GORNJI GRAD - MEDVEŠČAK,18576.160558
15.9734283049648,45.8155168930213,13,Trg Sv. Marka,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",GORNJI GRAD - MEDVEŠČAK,18576.160558
15.9737936232027,45.814661657447,14,Palača Dverce,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",GORNJI GRAD - MEDVEŠČAK,18576.160558
15.9734431030684,45.8144888144087,15,Palača Dverce,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",GORNJI GRAD - MEDVEŠČAK,18576.160558
15.9739324213502,45.8142020524409,16,Palača Dverce,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",GORNJI GRAD - MEDVEŠČAK,18576.160558
15.9792691206335,45.8074851464926,17,Trg kralja Tomislava,2015,Služba za informacijski sustav i tehničke poslove,Služba za informacijski sustav i tehničke poslove,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",DONJI GRAD,9845.51393062
