X,Y,OBJECTID,naziv,adresa,grad_cetvr,telefon,fax,email,web,vr_vrtica,tip_vrtica,nadlezan,gradjevina,kuhinja,dvorana,vdi,strani_jez
15.9452453800001,45.801658172,1,BAJKA,Zorkovačka ulica 8,TREŠNJEVKA-SJEVER,01 369 2062,01 302 7322,vrtic-bajka@zagreb.hr,www.vrtic-bajka.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
15.938020748,45.808916885,2,BAJKA,Humska ulica 1,TREŠNJEVKA-SJEVER,01 364 3327,,vrtic-bajka@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,engleski
15.9372199370001,45.799718103,3,BAJKA,Opatijski trg 9,TREŠNJEVKA-SJEVER,01 369 5959,,vrtic-bajka@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,DA,engleski
15.94402818,45.8027252630001,4,BAJKA,Selska cesta 95/1,TREŠNJEVKA-SJEVER,01 302 6170,,vrtic-bajka@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,
15.938067732,45.7538961400001,5,BOTINEC,Ulica Zlatarova zlata 67,NOVI ZAGREB-ZAPAD,"01 654 5905, 01 654 5906",01 654 5339,vrtic-botinec@zagreb.hr,www.vrtic-botinec.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
15.9962858160001,45.731218901,6,BOTINEC,"Đačka ulica 3, Odra",NOVI ZAGREB-ZAPAD,01 626 2111,,vrtic-botinec@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,engleski
15.9370136220001,45.754532511,7,BOTINEC,Ulica Ivice Kičmanovića 13,NOVI ZAGREB-ZAPAD,01 654 6112,,vrtic-botinec@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamijenjeni stan,NE,NE,NE,"engleski, talijanski"
15.977670409,45.730282834,8,BOTINEC,"Malomlačka ulica 83, Mala Mlaka",NOVI ZAGREB-ZAPAD,01 626 2493,,vrtic-botinec@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,engleski
15.9729339510001,45.8061450760001,9,BUDUĆNOST,Mihanovićeva ulica 30/2,DONJI GRAD,01 485 6713,01 485 6714,vrtic.buducnost@zagreb.hr,www.vrtic.buducnost.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,NE,DA,engleski
15.974978402,45.805999904,10,BUDUĆNOST,Haulikova ulica 6,DONJI GRAD,01 457 7336,,vrtic.buducnost@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,NE,DA,
16.0012952430001,45.8392736550001,11,BUKOVAC,Bukovačka cesta 221,MAKSIMIR,01 244 5111,,vrtic-bukovac@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,"engleski, njemački"
15.9968782660001,45.8484259420001,12,BUKOVAC,Bukovačka cesta 316A,MAKSIMIR,01 244 4539,,vrtic-bukovac@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,engleski
16.017830455,45.806631022,13,CVRČAK,Turopoljska ulica 29,PEŠČENICA-ŽITNJAK,01 230 3402,01 230 3402,vrtic-cvrcak@zagreb.hr,www.vrtic-cvrcak.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,engleski
16.024393843,45.808659316,14,CVRČAK,Zapoljska ulica 34,PEŠČENICA-ŽITNJAK,01 230 7501,,vrtic-cvrcak@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,DA,DA,engleski
16.0252915450001,45.8122014940001,15,CVRČAK,Ulica Ksavera Šandora Gjalskog 29A,PEŠČENICA-ŽITNJAK,01 230 3405,,vrtic-cvrcak@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,NE,DA,DA,engleski
16.045417249,45.8081342900001,16,CVRČAK,Vukomerec 43,PEŠČENICA-ŽITNJAK,01 237 1000,,vrtic-cvrcak@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,DA,DA,
16.025558285,45.802395909,17,DUGA,Ferenščica I. 90,PEŠČENICA-ŽITNJAK,01 245 1786,01 245 1787,vrtic.duga@zagreb.hr,www.vrtic-duga.zagreb.hr,Gradski vrtić,CENTRALNI,"Gradski ured za obrazovanje, sport i mlade",namjenska građevina,DA,NE,DA,engleski
16.017658065,45.813635381,18,DUGA,Ulica Divka Budaka 16,PEŠČENICA-ŽITNJAK,01 232 9786,,vrtic.duga@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,engleski
16.023831467,45.8070269940001,19,DUGA,Racinova ulica 1B,PEŠČENICA-ŽITNJAK,01 230 3202,,vrtic.duga@zagreb.hr,,Gradski vrtić,PODRUČNI,"Gradski ured za obrazovanje, sport i mlade",prenamiijenjena kuća,NE,NE,DA,
